,epochs,filters,kernel_size,batch_size,learning_rate,acc_mean
0,8,16,2,32,0.01,0.8771185503531106
1,8,16,2,32,0.001,0.8774324485937371
2,8,16,2,64,0.01,0.8261266072057704
3,8,16,2,64,0.001,0.8734735981762786
4,8,16,2,128,0.01,0.8848504270871119
5,8,16,2,128,0.001,0.8548214294684636
6,8,16,2,256,0.01,0.8749015800545948
7,8,16,2,256,0.001,0.6656099551662614
8,8,16,3,32,0.01,0.8635708199431492
9,8,16,3,32,0.001,0.8778135030057815
10,8,16,3,64,0.01,0.8853739862014885
11,8,16,3,64,0.001,0.8766650202836065
12,8,16,3,128,0.01,0.8545826097856043
13,8,16,3,128,0.001,0.8656354189508734
14,8,16,3,256,0.01,0.8749183204699144
15,8,16,3,256,0.001,0.7984284886150989
16,8,32,2,32,0.01,0.881368339265058
17,8,32,2,32,0.001,0.8857811542812368
18,8,32,2,64,0.01,0.8831598051975407
19,8,32,2,64,0.001,0.8821766256686961
20,8,32,2,128,0.01,0.8640907400410408
21,8,32,2,128,0.001,0.8820414331002037
22,8,32,2,256,0.01,0.8807405529381223
23,8,32,2,256,0.001,0.8242869721297409
24,8,32,3,32,0.01,0.8795217151316465
25,8,32,3,32,0.001,0.881630415232939
26,8,32,3,64,0.01,0.842696656840793
27,8,32,3,64,0.001,0.8766542024931834
28,8,32,3,128,0.01,0.8889973380200189
29,8,32,3,128,0.001,0.8753335924473434
30,8,32,3,256,0.01,0.8428568788967854
31,8,32,3,256,0.001,0.826755944419153
32,8,64,2,32,0.01,0.7597149825991023
33,8,64,2,32,0.001,0.8938578599418362
34,8,64,2,64,0.01,0.8624809595551378
35,8,64,2,64,0.001,0.8865771016959805
36,8,64,2,128,0.01,0.8636880140962737
37,8,64,2,128,0.001,0.8643065987201268
38,8,64,2,256,0.01,0.8410379757382748
39,8,64,2,256,0.001,0.8289587994302782
40,8,64,3,32,0.01,0.7123097710299419
41,8,64,3,32,0.001,0.8895970715125393
42,8,64,3,64,0.01,0.8398344476013153
43,8,64,3,64,0.001,0.8827745991265257
44,8,64,3,128,0.01,0.8549348860987096
45,8,64,3,128,0.001,0.8826643111618058
46,8,64,3,256,0.01,0.8590611116262309
47,8,64,3,256,0.001,0.8027800572131688
48,8,128,2,32,0.01,0.815557092336281
49,8,128,2,32,0.001,0.8867000771895371
50,8,128,2,64,0.01,0.8341169744431477
51,8,128,2,64,0.001,0.8921326233584921
52,8,128,2,128,0.01,0.827622404327593
53,8,128,2,128,0.001,0.8419384544735841
54,8,128,2,256,0.01,0.8844099388520884
55,8,128,2,256,0.001,0.8400926511549166
56,8,128,3,32,0.01,0.8988051846740182
57,8,128,3,32,0.001,0.8605712436206093
58,8,128,3,64,0.01,0.8910089622613722
59,8,128,3,64,0.001,0.8916810810781358
60,8,128,3,128,0.01,0.8406335421658145
61,8,128,3,128,0.001,0.8391316756350232
62,8,128,3,256,0.01,0.883373082065756
63,8,128,3,256,0.001,0.8212614046400287
