,epochs,filters,multihead_kernel_size,batch_size,learning_rate,acc_mean,sacc_mean
0,5,32,"[2, 3, 5]",64,0.01,0.35395764613060093,0.6426684684973271
1,5,32,"[2, 5, 7]",64,0.01,0.335276391049618,0.5948570039955636
2,5,32,"[3, 5, 7]",64,0.01,0.3239886697897561,0.5839202495692067
3,5,32,"[3, 5, 11]",64,0.01,0.34567019584238107,0.6238588477197352
4,5,32,"[2, 3, 5]",64,0.001,0.48510638473224366,0.7621871080156825
5,5,32,"[2, 5, 7]",64,0.001,0.4661872586803429,0.7407949817094707
6,5,32,"[3, 5, 7]",64,0.001,0.4608060567912157,0.7320931804353322
7,5,32,"[3, 5, 11]",64,0.001,0.47201505062647736,0.7500394057969721
8,5,32,"[2, 3, 5]",128,0.01,0.3717653391294275,0.7259906204164338
9,5,32,"[2, 5, 7]",128,0.01,0.3639435094383448,0.6966684696305395
10,5,32,"[3, 5, 7]",128,0.01,0.4075023756230725,0.7534463655084634
11,5,32,"[3, 5, 11]",128,0.01,0.3316084393970089,0.674000065897478
12,5,32,"[2, 3, 5]",128,0.001,0.4474409149628575,0.7024422339923327
13,5,32,"[2, 5, 7]",128,0.001,0.4595173122597657,0.7378789132602724
14,5,32,"[3, 5, 7]",128,0.001,0.4586392517277331,0.7016004942949396
15,5,32,"[3, 5, 11]",128,0.001,0.45475740852208263,0.7134918267057974
16,5,64,"[2, 3, 5]",64,0.01,0.30942332726285104,0.567921655187038
17,5,64,"[2, 5, 7]",64,0.01,0.3151907687656304,0.5816966306276606
18,5,64,"[3, 5, 7]",64,0.01,0.3163592579902726,0.6053176042610372
19,5,64,"[3, 5, 11]",64,0.01,0.32181519006717574,0.5768125167291598
20,5,64,"[2, 3, 5]",64,0.001,0.47653837438219676,0.7566270300442755
21,5,64,"[2, 5, 7]",64,0.001,0.4814549605825431,0.7612632283458615
22,5,64,"[3, 5, 7]",64,0.001,0.4839057844706421,0.7641397539808449
23,5,64,"[3, 5, 11]",64,0.001,0.48432229274200433,0.7835225725235692
24,5,64,"[2, 3, 5]",128,0.01,0.37947124141067406,0.7249950306562934
25,5,64,"[2, 5, 7]",128,0.01,0.34939667948234093,0.672860021166137
26,5,64,"[3, 5, 7]",128,0.01,0.3340877236333617,0.680224062814327
27,5,64,"[3, 5, 11]",128,0.01,0.338265332666325,0.66909191625261
28,5,64,"[2, 3, 5]",128,0.001,0.460719094440758,0.7186775899027582
29,5,64,"[2, 5, 7]",128,0.001,0.480336297381834,0.7617226051606321
30,5,64,"[3, 5, 7]",128,0.001,0.4476315323607944,0.7318853021472865
31,5,64,"[3, 5, 11]",128,0.001,0.45970917141725326,0.7346134953167182
32,5,128,"[2, 3, 5]",64,0.01,0.3285093129320116,0.5915543984022876
33,5,128,"[2, 5, 7]",64,0.01,0.32700344944699994,0.5863809980961009
34,5,128,"[3, 5, 7]",64,0.01,0.28607765332191476,0.5136277584621535
35,5,128,"[3, 5, 11]",64,0.01,0.31980373747029645,0.5803089178914893
36,5,128,"[2, 3, 5]",64,0.001,0.4590523329462104,0.7477428568544296
37,5,128,"[2, 5, 7]",64,0.001,0.44880875310751117,0.7066826883754268
38,5,128,"[3, 5, 7]",64,0.001,0.45060833764764396,0.7351375993049909
39,5,128,"[3, 5, 11]",64,0.001,0.4640662583583599,0.7514296209760226
40,5,128,"[2, 3, 5]",128,0.01,0.32555623947095397,0.6387585584775946
41,5,128,"[2, 5, 7]",128,0.01,0.33756146641989604,0.6694232958027256
42,5,128,"[3, 5, 7]",128,0.01,0.35745482793810507,0.7076261237410973
43,5,128,"[3, 5, 11]",128,0.01,0.34825744985442625,0.6894536946450739
44,5,128,"[2, 3, 5]",128,0.001,0.4161926659280029,0.6317503931936485
45,5,128,"[2, 5, 7]",128,0.001,0.3904972926141004,0.6911254536873904
46,5,128,"[3, 5, 7]",128,0.001,0.48345136569930713,0.7430173861962462
47,5,128,"[3, 5, 11]",128,0.001,0.47035412068747995,0.740336050542583
