,epochs,filters,kernel_size,batch_size,learning_rate,acc_mean,sacc_mean
0,10,16,2,32,0.01,0.5877870873685663,0.8780636166374567
1,10,16,2,32,0.001,0.5847309862189425,0.8684247690627495
2,10,16,2,64,0.01,0.5753184687861342,0.8665281434611035
3,10,16,2,64,0.001,0.5419301758039815,0.8675918434444156
4,10,16,2,128,0.01,0.556444748855636,0.8636799667026134
5,10,16,2,128,0.001,0.4659625846756558,0.8500791515109701
6,10,16,2,256,0.01,0.5246125026756733,0.8397981555334582
7,10,16,2,256,0.001,0.29667357157638025,0.679672413846713
8,10,16,3,32,0.01,0.5576947741663484,0.8604229010030032
9,10,16,3,32,0.001,0.5353793280379452,0.8576691897243292
10,10,16,3,64,0.01,0.5502239013871576,0.8488012439994869
11,10,16,3,64,0.001,0.49036328802703416,0.8586211550349283
12,10,16,3,128,0.01,0.566274591810125,0.8652105581334872
13,10,16,3,128,0.001,0.44888095941982065,0.8516597382379857
14,10,16,3,256,0.01,0.4360002762748863,0.7531775148793084
15,10,16,3,256,0.001,0.31320705517878394,0.7687822194744137
16,10,32,2,32,0.01,0.5835454027872071,0.8751240215309247
17,10,32,2,32,0.001,0.5904560832406459,0.8766252526256743
18,10,32,2,64,0.01,0.5577752948003426,0.8635505749473719
19,10,32,2,64,0.001,0.5806061380010253,0.8748912785343061
20,10,32,2,128,0.01,0.558590453403962,0.8467091746866751
21,10,32,2,128,0.001,0.561401154637653,0.8682518202416535
22,10,32,2,256,0.01,0.5505228188618534,0.8574452977573701
23,10,32,2,256,0.001,0.3687233916898796,0.7778271386927139
24,10,32,3,32,0.01,0.5827006906750845,0.864973748600184
25,10,32,3,32,0.001,0.5887447910726189,0.8750366396008321
26,10,32,3,64,0.01,0.5845602016352949,0.8658205467670049
27,10,32,3,64,0.001,0.5841563304631491,0.8681309388018984
28,10,32,3,128,0.01,0.5633149138290985,0.8738301530270015
29,10,32,3,128,0.001,0.5035188350492373,0.8596057714390731
30,10,32,3,256,0.01,0.5223530667792368,0.83514294928927
31,10,32,3,256,0.001,0.3586669735908367,0.7729847061325872
32,10,64,2,32,0.01,0.5979248802731342,0.885567758293257
33,10,64,2,32,0.001,0.5953180493626925,0.8750427010774556
34,10,64,2,64,0.01,0.5518544360859218,0.8668149224707031
35,10,64,2,64,0.001,0.6043299698314376,0.8751184149301315
36,10,64,2,128,0.01,0.5831916934799398,0.8748201336091235
37,10,64,2,128,0.001,0.5796140461375708,0.8745913906072689
38,10,64,2,256,0.01,0.5778719793112139,0.8609615493150474
39,10,64,2,256,0.001,0.4717894694440363,0.8479632258561723
40,10,64,3,32,0.01,0.585018208019266,0.8801401926167353
41,10,64,3,32,0.001,0.5989371922890564,0.8819935298836411
42,10,64,3,64,0.01,0.5993756006441648,0.8794369312951945
43,10,64,3,64,0.001,0.596301147651554,0.8757631868498633
44,10,64,3,128,0.01,0.5605059817502189,0.8758579440029326
45,10,64,3,128,0.001,0.5894345227395816,0.8626146908252191
46,10,64,3,256,0.01,0.5351559453241151,0.8477152318440777
47,10,64,3,256,0.001,0.4600028735143218,0.8284727255456872
48,10,128,2,32,0.01,0.5657185256817255,0.8447386967653393
49,10,128,2,32,0.001,0.6150408537942679,0.8786883811972542
50,10,128,2,64,0.01,0.5949661539080914,0.864180864010017
51,10,128,2,64,0.001,0.6086459419439875,0.8818749379347843
52,10,128,2,128,0.01,0.584398708054907,0.8753416552732047
53,10,128,2,128,0.001,0.5923889746233327,0.8772363713990171
54,10,128,2,256,0.01,0.6006684114103561,0.873286313305408
55,10,128,2,256,0.001,0.5447256175127674,0.8687746517368921
56,10,128,3,32,0.01,0.5930765324869963,0.8734397102356112
57,10,128,3,32,0.001,0.5933987508103448,0.8773233241683661
58,10,128,3,64,0.01,0.5757262444346354,0.8683576884945149
59,10,128,3,64,0.001,0.6056107150041462,0.8746797918375134
60,10,128,3,128,0.01,0.5822075015791972,0.8700566693848423
61,10,128,3,128,0.001,0.594028572658361,0.8751741655111079
62,10,128,3,256,0.01,0.5779328077938771,0.8684115295996578
63,10,128,3,256,0.001,0.4927645755356947,0.8629545549297863
